Date;MCD;WMT;KO;T;BAC;KHC;BA;TSLA;AMZN;AAPL;VZ;PFE;GS;MMM;AXP;CAT;FCAU;UL;COST;XOM
1/12/2015;104.43;54.14;36.75;25.93;15.3;59.4;128.68;48;675.89;24.18;37.01;25.39;166.31;131.36;64.08;57.74;7.3;36.8;147.4;61.5
1/1/2016;109.41;59.1;36.72;27.17;12.89;64.25;106.91;38.24;587;22.36;40.01;23.99;149.08;131.68;49.29;52.88;5.6;37.8;137.9;61.5
1/2/2016;103.59;59.09;36.9;28.23;11.42;63.4;105.18;38.39;552.52;22.21;41.12;23.34;137.98;136.8;51.43;59;5.5;36.5;136.9;63.3
1/3/2016;111.93;61;39.69;29.93;12.33;64.66;114.02;45.95;593.64;25.17;43.84;23.55;145.48;146.36;56.82;66.71;6.4;38.8;144.2;66.6
1/4/2016;112.66;60;38.63;29.66;13.33;64.74;121.08;48.15;659.59;21.65;41.29;25.99;152.09;147.02;60.55;67.74;6.4;38.5;135.6;70.4
1/5/2016;108.71;63.51;38.45;30.29;13.54;68.99;113.31;44.65;722.79;23.07;41.7;27.57;147.8;147.84;61.15;63.81;5.7;39.5;136.5;70.9
1/6/2016;107.18;66;39.08;33.43;12.15;73.88;117.6;42.46;715.62;22.22;45.74;28.23;138.26;154.84;56.5;66.72;4.9;41.5;144.1;75.3
1/7/2016;105.55;65.95;37.9;33.49;13.31;72.13;121.03;46.96;758.81;24.22;45.39;29.58;147.78;157.7;60.24;72.83;5.1;40.5;153.5;71.5
1/8/2016;103.77;64.57;37.73;31.98;14.82;74.72;117.22;42.4;769.16;24.66;43.3;27.9;157.69;158.48;61.29;72.81;5.5;40.2;148.8;70
1/9/2016;104.3;65.63;36.77;31.77;14.44;75.24;120.28;40.81;837.31;26.41;43.01;27.38;150.66;156.79;59.85;78.87;5.1;41.4;140.3;70.7
1/10/2016;101.78;63.72;37.14;28.78;15.23;74.77;130.04;39.55;789.82;26.53;39.8;25.63;166.51;147.07;62.07;74.15;5.8;36.4;136.1;67.5
1/11/2016;107.84;64.09;35.34;30.59;19.49;68.63;137.47;37.88;750.57;25.82;41.76;25.98;204.86;152.8;67.66;85.66;6.1;35.2;138.1;70.7
1/12/2016;110.91;62.9;37.1;31.97;21.39;73.93;144.34;42.74;768.66;27.2;44.67;27.28;224.39;159.82;69.58;83.13;7.3;35.8;147.8;73.8
1/1/2017;111.68;61.17;36.72;33.38;20.97;75.6;151.51;50.39;823.48;28.5;41.01;25.91;214.9;156.53;71.74;85.74;8.7;36.2;151.3;68.6
1/2/2017;116.31;65.01;37.06;33.47;22.86;77.48;167.1;50;845.04;32.17;41.98;27.86;232.46;166.86;75.52;87.36;8.7;41.8;163.6;66.5
